sun.net.spi.nameservice.dns:DNSNameService$1::java.lang.Object:java.security.PrivilegedExceptionAction:<init>::2:sun.net.spi.nameservice.dns.DNSNameService,java.util.Hashtable:void::JDK
sun.net.spi.nameservice.dns:DNSNameService$1::java.lang.Object:java.security.PrivilegedExceptionAction:run:public:0::javax.naming.directory.DirContext::JDK
sun.net.spi.nameservice.dns:DNSNameService$1::java.lang.Object:java.security.PrivilegedExceptionAction:run:public,volatile:0::java.lang.Object::JDK
sun.net.spi.nameservice.dns:DNSNameService$2::java.lang.Object:java.security.PrivilegedExceptionAction:<init>::4:sun.net.spi.nameservice.dns.DNSNameService,javax.naming.directory.DirContext,java.lang.String,java.lang.String[]:void::JDK
sun.net.spi.nameservice.dns:DNSNameService$2::java.lang.Object:java.security.PrivilegedExceptionAction:run:public:0::javax.naming.directory.Attributes::JDK
sun.net.spi.nameservice.dns:DNSNameService$2::java.lang.Object:java.security.PrivilegedExceptionAction:run:public,volatile:0::java.lang.Object::JDK
sun.net.spi.nameservice.dns:DNSNameService$ThreadContext::java.lang.Object::<init>:public:2:javax.naming.directory.DirContext,java.util.List:void::JDK
sun.net.spi.nameservice.dns:DNSNameService$ThreadContext::java.lang.Object::dirContext:public:0::javax.naming.directory.DirContext::JDK
sun.net.spi.nameservice.dns:DNSNameService$ThreadContext::java.lang.Object::nameservers:public:0::java.util.List::JDK
sun.net.spi.nameservice.dns:DNSNameService:public,final:java.lang.Object:sun.net.spi.nameservice.NameService:getTemporaryContext:private:0::javax.naming.directory.DirContext::JDK
sun.net.spi.nameservice.dns:DNSNameService:public,final:java.lang.Object:sun.net.spi.nameservice.NameService:resolve:private:4:javax.naming.directory.DirContext,java.lang.String,java.lang.String[],int:java.util.ArrayList::JDK
sun.net.spi.nameservice.dns:DNSNameService:public,final:java.lang.Object:sun.net.spi.nameservice.NameService:<init>:public:0::void::JDK
sun.net.spi.nameservice.dns:DNSNameService:public,final:java.lang.Object:sun.net.spi.nameservice.NameService:lookupAllHostAddr:public:1:java.lang.String:java.net.InetAddress[]::JDK
sun.net.spi.nameservice.dns:DNSNameService:public,final:java.lang.Object:sun.net.spi.nameservice.NameService:getHostByAddr:public:1:byte[]:java.lang.String::JDK
sun.net.spi.nameservice.dns:DNSNameService:public,final:java.lang.Object:sun.net.spi.nameservice.NameService:appendIfLiteralAddress:private,static:2:java.lang.String,java.lang.StringBuffer:void::JDK
sun.net.spi.nameservice.dns:DNSNameService:public,final:java.lang.Object:sun.net.spi.nameservice.NameService:createProviderURL:private,static:1:java.util.List:java.lang.String::JDK
sun.net.spi.nameservice.dns:DNSNameService:public,final:java.lang.Object:sun.net.spi.nameservice.NameService:createProviderURL:private,static:1:java.lang.String:java.lang.String::JDK
sun.net.spi.nameservice.dns:DNSNameService:public,final:java.lang.Object:sun.net.spi.nameservice.NameService:<clinit>:static:0::void::JDK
sun.net.spi.nameservice.dns:DNSNameServiceDescriptor:public,final:java.lang.Object:sun.net.spi.nameservice.NameServiceDescriptor:<init>:public:0::void::JDK
sun.net.spi.nameservice.dns:DNSNameServiceDescriptor:public,final:java.lang.Object:sun.net.spi.nameservice.NameServiceDescriptor:createNameService:public:0::sun.net.spi.nameservice.NameService::JDK
sun.net.spi.nameservice.dns:DNSNameServiceDescriptor:public,final:java.lang.Object:sun.net.spi.nameservice.NameServiceDescriptor:getProviderName:public:0::java.lang.String::JDK
sun.net.spi.nameservice.dns:DNSNameServiceDescriptor:public,final:java.lang.Object:sun.net.spi.nameservice.NameServiceDescriptor:getType:public:0::java.lang.String::JDK
