org.jsoup:org.jsoup.Connection$Base:3PP
org.jsoup:org.jsoup.Connection$KeyVal:3PP
org.jsoup:org.jsoup.Connection$Method:3PP
org.jsoup:org.jsoup.Connection$Request:3PP
org.jsoup:org.jsoup.Connection$Response:3PP
org.jsoup:org.jsoup.Connection:3PP
org.jsoup.helper:org.jsoup.helper.ChangeNotifyingArrayList:3PP
org.jsoup.helper:org.jsoup.helper.CookieUtil:3PP
org.jsoup.helper:org.jsoup.helper.DataUtil$BomCharset:3PP
org.jsoup.helper:org.jsoup.helper.DataUtil:3PP
org.jsoup.helper:org.jsoup.helper.HttpConnection$1:3PP
org.jsoup.helper:org.jsoup.helper.HttpConnection$Base:3PP
org.jsoup.helper:org.jsoup.helper.HttpConnection$KeyVal:3PP
org.jsoup.helper:org.jsoup.helper.HttpConnection$Request:3PP
org.jsoup.helper:org.jsoup.helper.HttpConnection$Response:3PP
org.jsoup.helper:org.jsoup.helper.HttpConnection:3PP
org.jsoup.helper:org.jsoup.helper.package-info:3PP
org.jsoup.helper:org.jsoup.helper.Validate:3PP
org.jsoup.helper:org.jsoup.helper.W3CDom$W3CBuilder:3PP
org.jsoup.helper:org.jsoup.helper.W3CDom:3PP
org.jsoup:org.jsoup.HttpStatusException:3PP
org.jsoup.internal:org.jsoup.internal.ConstrainableInputStream:3PP
org.jsoup.internal:org.jsoup.internal.FieldsAreNonnullByDefault:3PP
org.jsoup.internal:org.jsoup.internal.NonnullByDefault:3PP
org.jsoup.internal:org.jsoup.internal.Normalizer:3PP
org.jsoup.internal:org.jsoup.internal.package-info:3PP
org.jsoup.internal:org.jsoup.internal.ReturnsAreNonnullByDefault:3PP
org.jsoup.internal:org.jsoup.internal.StringUtil$1:3PP
org.jsoup.internal:org.jsoup.internal.StringUtil$StringJoiner:3PP
org.jsoup.internal:org.jsoup.internal.StringUtil:3PP
org.jsoup:org.jsoup.Jsoup:3PP
org.jsoup.nodes:org.jsoup.nodes.Attribute:3PP
org.jsoup.nodes:org.jsoup.nodes.Attributes$1:3PP
org.jsoup.nodes:org.jsoup.nodes.Attributes$Dataset$DatasetIterator:3PP
org.jsoup.nodes:org.jsoup.nodes.Attributes$Dataset$EntrySet:3PP
org.jsoup.nodes:org.jsoup.nodes.Attributes$Dataset:3PP
org.jsoup.nodes:org.jsoup.nodes.Attributes:3PP
org.jsoup.nodes:org.jsoup.nodes.CDataNode:3PP
org.jsoup.nodes:org.jsoup.nodes.Comment:3PP
