javax.inject:javax.inject.Inject:3PP
javax.inject:javax.inject.Named:3PP
javax.inject:javax.inject.Provider:3PP
javax.inject:javax.inject.Qualifier:3PP
javax.inject:javax.inject.Scope:3PP
javax.inject:javax.inject.Singleton:3PP
