groovy.beans:groovy.beans.Bindable:3PP
groovy.beans:groovy.beans.BindableASTTransformation:3PP
groovy.beans:groovy.beans.DefaultPropertyAccessor:3PP
groovy.beans:groovy.beans.DefaultPropertyReader:3PP
groovy.beans:groovy.beans.DefaultPropertyWriter:3PP
groovy.beans:groovy.beans.ListenerList:3PP
groovy.beans:groovy.beans.ListenerListASTTransformation$_addFireMethods_closure3:3PP
groovy.beans:groovy.beans.ListenerListASTTransformation$_visit_closure1:3PP
groovy.beans:groovy.beans.ListenerListASTTransformation$_visit_closure2:3PP
groovy.beans:groovy.beans.ListenerListASTTransformation:3PP
groovy.beans:groovy.beans.PropertyAccessor:3PP
groovy.beans:groovy.beans.PropertyReader:3PP
groovy.beans:groovy.beans.PropertyWriter:3PP
groovy.beans:groovy.beans.Vetoable:3PP
groovy.beans:groovy.beans.VetoableASTTransformation:3PP
groovy.grape:groovy.grape.GrabAnnotationTransformation:3PP
groovy.grape:groovy.grape.Grape:3PP
groovy.grape:groovy.grape.GrapeEngine:3PP
groovy.grape:groovy.grape.GrapeIvy$_addExcludesIfNeeded_closure6:3PP
groovy.grape:groovy.grape.GrapeIvy$_closure1:3PP
groovy.grape:groovy.grape.GrapeIvy$_closure1_closure12:3PP
groovy.grape:groovy.grape.GrapeIvy$_enumerateGrapes_closure7:3PP
groovy.grape:groovy.grape.GrapeIvy$_enumerateGrapes_closure7_closure18:3PP
groovy.grape:groovy.grape.GrapeIvy$_enumerateGrapes_closure7_closure18_closure19:3PP
groovy.grape:groovy.grape.GrapeIvy$_getDependencies_closure2:3PP
groovy.grape:groovy.grape.GrapeIvy$_getDependencies_closure3:3PP
groovy.grape:groovy.grape.GrapeIvy$_getDependencies_closure4:3PP
groovy.grape:groovy.grape.GrapeIvy$_getDependencies_closure4_closure13:3PP
groovy.grape:groovy.grape.GrapeIvy$_getDependencies_closure4_closure14:3PP
groovy.grape:groovy.grape.GrapeIvy$_listDependencies_closure11:3PP
groovy.grape:groovy.grape.GrapeIvy$_resolve_closure10:3PP
groovy.grape:groovy.grape.GrapeIvy$_resolve_closure8:3PP
groovy.grape:groovy.grape.GrapeIvy$_resolve_closure9:3PP
groovy.grape:groovy.grape.GrapeIvy$_uninstallArtifact_closure5:3PP
groovy.grape:groovy.grape.GrapeIvy$_uninstallArtifact_closure5_closure15:3PP
groovy.grape:groovy.grape.GrapeIvy$_uninstallArtifact_closure5_closure15_closure16:3PP
groovy.grape:groovy.grape.GrapeIvy$_uninstallArtifact_closure5_closure15_closure16_closure17:3PP
groovy.grape:groovy.grape.GrapeIvy:3PP
groovy.grape:groovy.grape.IvyGrabRecord:3PP
groovy.inspect:groovy.inspect.Inspector$MemberComparator:3PP
groovy.inspect:groovy.inspect.Inspector:3PP
groovy.inspect:groovy.inspect.TextNode:3PP
groovy.inspect:groovy.inspect.TextTreeNodeMaker:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_closure1:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_compile_closure7:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_compile_closure8:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_compile_closure8_closure37:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_compile_closure8_closure38:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_decompile_closure6:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_decompile_closure6_closure35:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_decompile_closure6_closure36:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_main_closure2:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_run_closure3:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_run_closure4:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_run_closure4_closure10:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_run_closure4_closure10_closure22:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_run_closure4_closure10_closure23:3PP
groovy.inspect.swingui:groovy.inspect.swingui.AstBrowser$_run_closure4_closure10_closure24:3PP
