javax.jms:javax.jms.BytesMessage:3PP
javax.jms:javax.jms.Connection:3PP
javax.jms:javax.jms.ConnectionConsumer:3PP
javax.jms:javax.jms.ConnectionFactory:3PP
javax.jms:javax.jms.ConnectionMetaData:3PP
javax.jms:javax.jms.DeliveryMode:3PP
javax.jms:javax.jms.Destination:3PP
javax.jms:javax.jms.ExceptionListener:3PP
javax.jms:javax.jms.IllegalStateException:3PP
javax.jms:javax.jms.InvalidClientIDException:3PP
javax.jms:javax.jms.InvalidDestinationException:3PP
javax.jms:javax.jms.InvalidSelectorException:3PP
javax.jms:javax.jms.JMSException:3PP
javax.jms:javax.jms.JMSSecurityException:3PP
javax.jms:javax.jms.MapMessage:3PP
javax.jms:javax.jms.Message:3PP
javax.jms:javax.jms.MessageConsumer:3PP
javax.jms:javax.jms.MessageEOFException:3PP
javax.jms:javax.jms.MessageFormatException:3PP
javax.jms:javax.jms.MessageListener:3PP
javax.jms:javax.jms.MessageNotReadableException:3PP
javax.jms:javax.jms.MessageNotWriteableException:3PP
javax.jms:javax.jms.MessageProducer:3PP
javax.jms:javax.jms.ObjectMessage:3PP
javax.jms:javax.jms.Queue:3PP
javax.jms:javax.jms.QueueBrowser:3PP
javax.jms:javax.jms.QueueConnection:3PP
javax.jms:javax.jms.QueueConnectionFactory:3PP
javax.jms:javax.jms.QueueReceiver:3PP
javax.jms:javax.jms.QueueRequestor:3PP
javax.jms:javax.jms.QueueSender:3PP
javax.jms:javax.jms.QueueSession:3PP
javax.jms:javax.jms.ResourceAllocationException:3PP
javax.jms:javax.jms.ServerSession:3PP
javax.jms:javax.jms.ServerSessionPool:3PP
javax.jms:javax.jms.Session:3PP
javax.jms:javax.jms.StreamMessage:3PP
javax.jms:javax.jms.TemporaryQueue:3PP
javax.jms:javax.jms.TemporaryTopic:3PP
javax.jms:javax.jms.TextMessage:3PP
javax.jms:javax.jms.Topic:3PP
javax.jms:javax.jms.TopicConnection:3PP
javax.jms:javax.jms.TopicConnectionFactory:3PP
javax.jms:javax.jms.TopicPublisher:3PP
javax.jms:javax.jms.TopicRequestor:3PP
javax.jms:javax.jms.TopicSession:3PP
javax.jms:javax.jms.TopicSubscriber:3PP
javax.jms:javax.jms.TransactionInProgressException:3PP
javax.jms:javax.jms.TransactionRolledBackException:3PP
javax.jms:javax.jms.XAConnection:3PP
javax.jms:javax.jms.XAConnectionFactory:3PP
javax.jms:javax.jms.XAQueueConnection:3PP
javax.jms:javax.jms.XAQueueConnectionFactory:3PP
javax.jms:javax.jms.XAQueueSession:3PP
javax.jms:javax.jms.XASession:3PP
javax.jms:javax.jms.XATopicConnection:3PP
javax.jms:javax.jms.XATopicConnectionFactory:3PP
javax.jms:javax.jms.XATopicSession:3PP
