javax.mail:javax.mail.Address:3PP
javax.mail:javax.mail.AuthenticationFailedException:3PP
javax.mail:javax.mail.Authenticator:3PP
javax.mail:javax.mail.BodyPart:3PP
javax.mail.event:javax.mail.event.ConnectionAdapter:3PP
javax.mail.event:javax.mail.event.ConnectionEvent:3PP
javax.mail.event:javax.mail.event.ConnectionListener:3PP
javax.mail.event:javax.mail.event.FolderAdapter:3PP
javax.mail.event:javax.mail.event.FolderEvent:3PP
javax.mail.event:javax.mail.event.FolderListener:3PP
javax.mail.event:javax.mail.event.MailEvent:3PP
javax.mail.event:javax.mail.event.MessageChangedEvent:3PP
javax.mail.event:javax.mail.event.MessageChangedListener:3PP
javax.mail.event:javax.mail.event.MessageCountAdapter:3PP
javax.mail.event:javax.mail.event.MessageCountEvent:3PP
javax.mail.event:javax.mail.event.MessageCountListener:3PP
javax.mail.event:javax.mail.event.StoreEvent:3PP
javax.mail.event:javax.mail.event.StoreListener:3PP
javax.mail.event:javax.mail.event.TransportAdapter:3PP
javax.mail.event:javax.mail.event.TransportEvent:3PP
javax.mail.event:javax.mail.event.TransportListener:3PP
javax.mail:javax.mail.FetchProfile$Item:3PP
javax.mail:javax.mail.FetchProfile:3PP
javax.mail:javax.mail.Flags$1:3PP
javax.mail:javax.mail.Flags$Flag:3PP
javax.mail:javax.mail.Flags:3PP
javax.mail:javax.mail.Folder:3PP
javax.mail:javax.mail.FolderClosedException:3PP
javax.mail:javax.mail.FolderNotFoundException:3PP
javax.mail:javax.mail.Header:3PP
javax.mail:javax.mail.IllegalWriteException:3PP
javax.mail.internet:javax.mail.internet.AddressException:3PP
javax.mail.internet:javax.mail.internet.ContentDisposition:3PP
javax.mail.internet:javax.mail.internet.ContentType:3PP
javax.mail.internet:javax.mail.internet.HeaderTokenizer$Token:3PP
javax.mail.internet:javax.mail.internet.HeaderTokenizer:3PP
javax.mail.internet:javax.mail.internet.InternetAddress:3PP
javax.mail.internet:javax.mail.internet.InternetHeaders:3PP
javax.mail.internet:javax.mail.internet.MailDateFormat:3PP
javax.mail.internet:javax.mail.internet.MimeBodyPart:3PP
javax.mail.internet:javax.mail.internet.MimeMessage$RecipientType:3PP
javax.mail.internet:javax.mail.internet.MimeMessage:3PP
javax.mail.internet:javax.mail.internet.MimeMultipart:3PP
javax.mail.internet:javax.mail.internet.MimePart:3PP
javax.mail.internet:javax.mail.internet.MimePartDataSource:3PP
javax.mail.internet:javax.mail.internet.MimeUtility:3PP
javax.mail.internet:javax.mail.internet.NewsAddress:3PP
javax.mail.internet:javax.mail.internet.ParameterList:3PP
javax.mail.internet:javax.mail.internet.ParseException:3PP
javax.mail.internet:javax.mail.internet.SharedInputStream:3PP
javax.mail:javax.mail.Message$RecipientType:3PP
javax.mail:javax.mail.Message:3PP
javax.mail:javax.mail.MessageAware:3PP
javax.mail:javax.mail.MessageContext:3PP
javax.mail:javax.mail.MessageRemovedException:3PP
javax.mail:javax.mail.MessagingException:3PP
javax.mail:javax.mail.MethodNotSupportedException:3PP
javax.mail:javax.mail.Multipart:3PP
javax.mail:javax.mail.MultipartDataSource:3PP
javax.mail:javax.mail.NoSuchProviderException:3PP
javax.mail:javax.mail.Part:3PP
javax.mail:javax.mail.PasswordAuthentication:3PP
javax.mail:javax.mail.Provider$Type:3PP
javax.mail:javax.mail.Provider:3PP
javax.mail:javax.mail.ReadOnlyFolderException:3PP
javax.mail.search:javax.mail.search.AddressStringTerm:3PP
javax.mail.search:javax.mail.search.AddressTerm:3PP
javax.mail.search:javax.mail.search.AndTerm:3PP
javax.mail.search:javax.mail.search.BodyTerm:3PP
javax.mail.search:javax.mail.search.ComparisonTerm:3PP
javax.mail.search:javax.mail.search.DateTerm:3PP
javax.mail.search:javax.mail.search.FlagTerm:3PP
javax.mail.search:javax.mail.search.FromStringTerm:3PP
javax.mail.search:javax.mail.search.FromTerm:3PP
javax.mail.search:javax.mail.search.HeaderTerm:3PP
javax.mail.search:javax.mail.search.IntegerComparisonTerm:3PP
javax.mail.search:javax.mail.search.MessageIDTerm:3PP
javax.mail.search:javax.mail.search.MessageNumberTerm:3PP
javax.mail.search:javax.mail.search.NotTerm:3PP
javax.mail.search:javax.mail.search.OrTerm:3PP
javax.mail.search:javax.mail.search.ReceivedDateTerm:3PP
javax.mail.search:javax.mail.search.RecipientStringTerm:3PP
javax.mail.search:javax.mail.search.RecipientTerm:3PP
javax.mail.search:javax.mail.search.SearchException:3PP
javax.mail.search:javax.mail.search.SearchTerm:3PP
javax.mail.search:javax.mail.search.SentDateTerm:3PP
javax.mail.search:javax.mail.search.SizeTerm:3PP
javax.mail.search:javax.mail.search.StringTerm:3PP
javax.mail.search:javax.mail.search.SubjectTerm:3PP
javax.mail:javax.mail.SendFailedException:3PP
javax.mail:javax.mail.Service:3PP
javax.mail:javax.mail.Session:3PP
javax.mail:javax.mail.Store:3PP
javax.mail:javax.mail.StoreClosedException:3PP
javax.mail:javax.mail.Transport:3PP
javax.mail:javax.mail.UIDFolder$FetchProfileItem:3PP
javax.mail:javax.mail.UIDFolder:3PP
javax.mail:javax.mail.URLName:3PP
