android:android.R$array:3PP
android:android.R$color:3PP
android:android.R$anim:3PP
android.gesture:android.gesture.GestureStore:3PP
android.gesture:android.gesture.GestureOverlayView$OnGesturingListener:3PP
android.gesture:android.gesture.Prediction:3PP
android.gesture:android.gesture.OrientedBoundingBox:3PP
android.gesture:android.gesture.GestureLibraries:3PP
android.gesture:android.gesture.GestureOverlayView$OnGestureListener:3PP
android.gesture:android.gesture.GesturePoint:3PP
android.gesture:android.gesture.GestureOverlayView:3PP
android.gesture:android.gesture.GestureLibrary:3PP
android.gesture:android.gesture.GestureStroke:3PP
android.gesture:android.gesture.Gesture:3PP
android.gesture:android.gesture.GestureOverlayView$OnGesturePerformedListener:3PP
android.sax:android.sax.TextElementListener:3PP
android.sax:android.sax.EndElementListener:3PP
android.sax:android.sax.RootElement:3PP
android.sax:android.sax.Element:3PP
android.sax:android.sax.StartElementListener:3PP
android.sax:android.sax.EndTextElementListener:3PP
android.sax:android.sax.ElementListener:3PP
android:android.Manifest$permission_group:3PP
android.util:android.util.StateSet:3PP
android.util:android.util.EventLogTags$Description:3PP
android.util:android.util.AndroidRuntimeException:3PP
android.util:android.util.SparseBooleanArray:3PP
android.util:android.util.AndroidException:3PP
android.util:android.util.FloatMath:3PP
android.util:android.util.EventLogTags:3PP
android.util:android.util.LogPrinter:3PP
android.util:android.util.Config:3PP
android.util:android.util.MonthDisplayHelper:3PP
android.util:android.util.TimeUtils:3PP
android.util:android.util.SparseIntArray:3PP
android.util:android.util.PrintWriterPrinter:3PP
android.util:android.util.TimingLogger:3PP
android.util:android.util.DisplayMetrics:3PP
android.util:android.util.PrintStreamPrinter:3PP
android.util:android.util.DebugUtils:3PP
android.util:android.util.TimeFormatException:3PP
android.util:android.util.SparseArray:3PP
android.util:android.util.Xml$Encoding:3PP
android.util:android.util.StringBuilderPrinter:3PP
android.util:android.util.Xml:3PP
android.util:android.util.TypedValue:3PP
android.util:android.util.Log:3PP
android.util:android.util.AttributeSet:3PP
android.util:android.util.Printer:3PP
android:android.R$xml:3PP
android:android.Manifest:3PP
android:android.R$string:3PP
android.opengl:android.opengl.GLSurfaceView$EGLConfigChooser:3PP
android.opengl:android.opengl.GLException:3PP
android.opengl:android.opengl.GLSurfaceView$Renderer:3PP
android.opengl:android.opengl.GLES10:3PP
android.opengl:android.opengl.GLES11Ext:3PP
android.opengl:android.opengl.Visibility:3PP
android.opengl:android.opengl.GLSurfaceView$GLWrapper:3PP
android.opengl:android.opengl.GLES11:3PP
android.opengl:android.opengl.GLSurfaceView:3PP
android.opengl:android.opengl.GLES10Ext:3PP
android.opengl:android.opengl.GLDebugHelper:3PP
android.opengl:android.opengl.Matrix:3PP
android.opengl:android.opengl.GLU:3PP
android.opengl:android.opengl.GLUtils:3PP
android:android.R$plurals:3PP
android.telephony:android.telephony.TelephonyManager:3PP
android.telephony:android.telephony.CellLocation:3PP
android.telephony:android.telephony.ServiceState:3PP
android.telephony:android.telephony.SmsMessage$MessageClass:3PP
android.telephony:android.telephony.SmsManager:3PP
android.telephony.gsm:android.telephony.gsm.SmsMessage$MessageClass:3PP
android.telephony.gsm:android.telephony.gsm.SmsManager:3PP
android.telephony.gsm:android.telephony.gsm.SmsMessage$SubmitPdu:3PP
android.telephony.gsm:android.telephony.gsm.SmsMessage:3PP
android.telephony.gsm:android.telephony.gsm.GsmCellLocation:3PP
android.telephony:android.telephony.PhoneStateListener:3PP
android.telephony:android.telephony.SmsMessage$SubmitPdu:3PP
android.telephony:android.telephony.PhoneNumberUtils:3PP
android.telephony:android.telephony.SmsMessage:3PP
android.telephony:android.telephony.NeighboringCellInfo:3PP
android.telephony:android.telephony.PhoneNumberFormattingTextWatcher:3PP
android.appwidget:android.appwidget.AppWidgetManager:3PP
android.appwidget:android.appwidget.AppWidgetHost:3PP
android.appwidget:android.appwidget.AppWidgetHostView:3PP
android.appwidget:android.appwidget.AppWidgetProviderInfo:3PP
android.appwidget:android.appwidget.AppWidgetProvider:3PP
android:android.Manifest$permission:3PP
android:android.R$drawable:3PP
android.webkit:android.webkit.WebIconDatabase:3PP
android.webkit:android.webkit.Plugin$PreferencesClickHandler:3PP
android.webkit:android.webkit.WebViewClient:3PP
android.webkit:android.webkit.UrlInterceptHandler:3PP
android.webkit:android.webkit.JsPromptResult:3PP
android.webkit:android.webkit.URLUtil:3PP
android.webkit:android.webkit.CacheManager:3PP
android.webkit:android.webkit.CookieManager:3PP
android.webkit:android.webkit.WebSettings$TextSize:3PP
android.webkit:android.webkit.UrlInterceptRegistry:3PP
android.webkit:android.webkit.MimeTypeMap:3PP
android.webkit:android.webkit.WebSettings$RenderPriority:3PP
android.webkit:android.webkit.CallbackProxy:3PP
android.webkit:android.webkit.HttpAuthHandler:3PP
android.webkit:android.webkit.CookieSyncManager:3PP
android.webkit:android.webkit.WebView$PictureListener:3PP
android.webkit:android.webkit.Plugin:3PP
android.webkit:android.webkit.JsResult:3PP
android.webkit:android.webkit.SslErrorHandler:3PP
android.webkit:android.webkit.WebView$HitTestResult:3PP
android.webkit:android.webkit.WebChromeClient:3PP
android.webkit:android.webkit.PluginList:3PP
android.webkit:android.webkit.DownloadListener:3PP
android.webkit:android.webkit.PluginData:3PP
android.webkit:android.webkit.WebBackForwardList:3PP
android.webkit:android.webkit.DateSorter:3PP
android.webkit:android.webkit.WebIconDatabase$IconListener:3PP
android.webkit:android.webkit.WebView$WebViewTransport:3PP
android.webkit:android.webkit.CacheManager$CacheResult:3PP
android.webkit:android.webkit.WebSettings:3PP
android.webkit:android.webkit.WebSyncManager:3PP
android.webkit:android.webkit.WebViewDatabase:3PP
android.webkit:android.webkit.WebHistoryItem:3PP
android.webkit:android.webkit.WebView:3PP
android.webkit:android.webkit.WebSettings$LayoutAlgorithm:3PP
android:android.R$style:3PP
android:android.R$bool:3PP
android:android.R$attr:3PP
android.content:android.content.IntentFilter:3PP
android.content:android.content.IntentSender$OnFinished:3PP
android.content:android.content.AsyncQueryHandler:3PP
android.content:android.content.IntentFilter$MalformedMimeTypeException:3PP
android.content:android.content.ComponentCallbacks:3PP
android.content:android.content.DialogInterface$OnClickListener:3PP
android.content:android.content.ReceiverCallNotAllowedException:3PP
