javax.jdo:javax.jdo.JDOHelper$16:3PP
javax.jdo:javax.jdo.JDOFatalDataStoreException:3PP
javax.jdo:javax.jdo.AttributeConverter$UseDefault:3PP
javax.jdo:javax.jdo.PersistenceManager:3PP
javax.jdo.query:javax.jdo.query.OrderExpression$OrderDirection:3PP
javax.jdo.query:javax.jdo.query.DateTimeExpression:3PP
javax.jdo.query:javax.jdo.query.ObjectExpression:3PP
javax.jdo.query:javax.jdo.query.ByteExpression:3PP
javax.jdo.query:javax.jdo.query.Expression:3PP
javax.jdo.query:javax.jdo.query.PersistableExpression:3PP
javax.jdo.query:javax.jdo.query.CharacterExpression:3PP
javax.jdo.query:javax.jdo.query.MapExpression:3PP
javax.jdo.query:javax.jdo.query.DateExpression:3PP
javax.jdo.query:javax.jdo.query.ComparableExpression:3PP
javax.jdo.query:javax.jdo.query.StringExpression:3PP
javax.jdo.query:javax.jdo.query.ListExpression:3PP
javax.jdo.query:javax.jdo.query.EnumExpression:3PP
javax.jdo.query:javax.jdo.query.NumericExpression:3PP
javax.jdo.query:javax.jdo.query.BooleanExpression:3PP
javax.jdo.query:javax.jdo.query.TimeExpression:3PP
javax.jdo.query:javax.jdo.query.OrderExpression:3PP
javax.jdo.query:javax.jdo.query.SubqueryExpression:3PP
javax.jdo.query:javax.jdo.query.CollectionExpression:3PP
javax.jdo:javax.jdo.JDOHelper$8:3PP
javax.jdo:javax.jdo.JDOHelper$2:3PP
javax.jdo:javax.jdo.Transaction:3PP
javax.jdo:javax.jdo.JDOQLTypedSubquery:3PP
javax.jdo:javax.jdo.JDOHelper$13:3PP
javax.jdo.annotations:javax.jdo.annotations.PrimaryKey:3PP
javax.jdo.annotations:javax.jdo.annotations.Discriminator:3PP
javax.jdo.annotations:javax.jdo.annotations.FetchGroups:3PP
javax.jdo.annotations:javax.jdo.annotations.PersistenceAware:3PP
javax.jdo.annotations:javax.jdo.annotations.Value:3PP
javax.jdo.annotations:javax.jdo.annotations.InheritanceStrategy:3PP
javax.jdo.annotations:javax.jdo.annotations.NotPersistent:3PP
javax.jdo.annotations:javax.jdo.annotations.Indices:3PP
javax.jdo.annotations:javax.jdo.annotations.Queries:3PP
javax.jdo.annotations:javax.jdo.annotations.Extensions:3PP
javax.jdo.annotations:javax.jdo.annotations.DatastoreIdentity:3PP
javax.jdo.annotations:javax.jdo.annotations.VersionStrategy:3PP
javax.jdo.annotations:javax.jdo.annotations.Embedded:3PP
javax.jdo.annotations:javax.jdo.annotations.Index:3PP
javax.jdo.annotations:javax.jdo.annotations.NullValue:3PP
javax.jdo.annotations:javax.jdo.annotations.SequenceStrategy:3PP
javax.jdo.annotations:javax.jdo.annotations.ForeignKeys:3PP
javax.jdo.annotations:javax.jdo.annotations.Uniques:3PP
javax.jdo.annotations:javax.jdo.annotations.PersistenceModifier:3PP
javax.jdo.annotations:javax.jdo.annotations.Column:3PP
javax.jdo.annotations:javax.jdo.annotations.IdGeneratorStrategy:3PP
javax.jdo.annotations:javax.jdo.annotations.Joins:3PP
javax.jdo.annotations:javax.jdo.annotations.Join:3PP
javax.jdo.annotations:javax.jdo.annotations.Convert:3PP
javax.jdo.annotations:javax.jdo.annotations.Unique:3PP
javax.jdo.annotations:javax.jdo.annotations.Key:3PP
javax.jdo.annotations:javax.jdo.annotations.Persistent:3PP
javax.jdo.annotations:javax.jdo.annotations.IdentityType:3PP
javax.jdo.annotations:javax.jdo.annotations.ForeignKeyAction:3PP
javax.jdo.annotations:javax.jdo.annotations.Version:3PP
javax.jdo.annotations:javax.jdo.annotations.Columns:3PP
javax.jdo.annotations:javax.jdo.annotations.Query:3PP
javax.jdo.annotations:javax.jdo.annotations.ForeignKey:3PP
javax.jdo.annotations:javax.jdo.annotations.Inheritance:3PP
javax.jdo.annotations:javax.jdo.annotations.Cacheable:3PP
javax.jdo.annotations:javax.jdo.annotations.Converts:3PP
javax.jdo.annotations:javax.jdo.annotations.Extension:3PP
javax.jdo.annotations:javax.jdo.annotations.FetchGroup:3PP
javax.jdo.annotations:javax.jdo.annotations.Serialized:3PP
javax.jdo.annotations:javax.jdo.annotations.FetchPlan:3PP
javax.jdo.annotations:javax.jdo.annotations.FetchPlans:3PP
javax.jdo.annotations:javax.jdo.annotations.EmbeddedOnly:3PP
