play.libs.ws:JsonBodyReadables:public,abstract,interface:::json:public:0::play.libs.ws.BodyReadable::3PP
play.libs.ws:JsonBodyReadables:public,abstract,interface:::json:public:1:com.fasterxml.jackson.databind.ObjectMapper:play.libs.ws.BodyReadable::3PP
play.libs.ws:JsonBodyReadables:public,abstract,interface:::lambda$json$0:private,static:2:com.fasterxml.jackson.databind.ObjectMapper,play.libs.ws.StandaloneWSResponse:com.fasterxml.jackson.databind.JsonNode::3PP
play.libs.ws:JsonBodyReadables:public,abstract,interface:::<clinit>:static:0::void::3PP
play.libs.ws:JsonBodyWritables:public,abstract,interface:::body:public:1:com.fasterxml.jackson.databind.JsonNode:play.libs.ws.BodyWritable::3PP
play.libs.ws:JsonBodyWritables:public,abstract,interface:::body:public:2:com.fasterxml.jackson.databind.JsonNode,com.fasterxml.jackson.databind.ObjectMapper:play.libs.ws.BodyWritable::3PP
play.libs.ws:JsonBodyWritables:public,abstract,interface:::<clinit>:static:0::void::3PP
play.api.libs.ws:JsonBodyWritables$:public,final:java.lang.Object:play.api.libs.ws.JsonBodyWritables:<clinit>:public,static:0::void::3PP
play.api.libs.ws:JsonBodyWritables$:public,final:java.lang.Object:play.api.libs.ws.JsonBodyWritables:body:public:1:com.fasterxml.jackson.databind.ObjectMapper:play.api.libs.ws.BodyWritable::3PP
play.api.libs.ws:JsonBodyWritables$:public,final:java.lang.Object:play.api.libs.ws.JsonBodyWritables:writeableOf_JsValue:public:0::play.api.libs.ws.BodyWritable::3PP
play.api.libs.ws:JsonBodyWritables$:public,final:java.lang.Object:play.api.libs.ws.JsonBodyWritables:JsonBodyWritables$_setter_$writeableOf_JsValue_$eq:public:1:play.api.libs.ws.BodyWritable:void::3PP
play.api.libs.ws:JsonBodyWritables$:public,final:java.lang.Object:play.api.libs.ws.JsonBodyWritables:<init>:private:0::void::3PP
play.libs.ws:JsonBodyWritables$1:final:java.lang.Object:play.libs.ws.JsonBodyWritables:<init>::0::void::3PP
play.libs.ws:DefaultObjectMapper:public:java.lang.Object::<init>:public:0::void::3PP
play.libs.ws:DefaultObjectMapper:public:java.lang.Object::<clinit>:static:0::void::3PP
play.api.libs.ws:JsonBodyReadables$:public,final:java.lang.Object:play.api.libs.ws.JsonBodyReadables:<clinit>:public,static:0::void::3PP
play.api.libs.ws:JsonBodyReadables$:public,final:java.lang.Object:play.api.libs.ws.JsonBodyReadables:readableAsJson:public:0::play.api.libs.ws.BodyReadable::3PP
play.api.libs.ws:JsonBodyReadables$:public,final:java.lang.Object:play.api.libs.ws.JsonBodyReadables:JsonBodyReadables$_setter_$readableAsJson_$eq:public:1:play.api.libs.ws.BodyReadable:void::3PP
play.api.libs.ws:JsonBodyReadables$:public,final:java.lang.Object:play.api.libs.ws.JsonBodyReadables:<init>:private:0::void::3PP
play.api.libs.ws:JsonBodyWritables:public,abstract,interface:::JsonBodyWritables$_setter_$writeableOf_JsValue_$eq:public,abstract:1:play.api.libs.ws.BodyWritable:void::3PP
play.api.libs.ws:JsonBodyWritables:public,abstract,interface:::writeableOf_JsValue:public,abstract:0::play.api.libs.ws.BodyWritable::3PP
play.api.libs.ws:JsonBodyWritables:public,abstract,interface:::body$:public,static:2:play.api.libs.ws.JsonBodyWritables,com.fasterxml.jackson.databind.ObjectMapper:play.api.libs.ws.BodyWritable::3PP
play.api.libs.ws:JsonBodyWritables:public,abstract,interface:::body:public:1:com.fasterxml.jackson.databind.ObjectMapper:play.api.libs.ws.BodyWritable::3PP
play.api.libs.ws:JsonBodyWritables:public,abstract,interface:::$anonfun$writeableOf_JsValue$1:public,static:1:play.api.libs.json.JsValue:play.api.libs.ws.InMemoryBody::3PP
play.api.libs.ws:JsonBodyWritables:public,abstract,interface:::$anonfun$body$1:public,static:2:com.fasterxml.jackson.databind.ObjectMapper,com.fasterxml.jackson.databind.JsonNode:play.api.libs.ws.InMemoryBody::3PP
play.api.libs.ws:JsonBodyWritables:public,abstract,interface:::$init$:public,static:1:play.api.libs.ws.JsonBodyWritables:void::3PP
play.api.libs.ws:JsonBodyWritables:public,abstract,interface:::$deserializeLambda$:private,static:1:java.lang.invoke.SerializedLambda:java.lang.Object::3PP
play.api.libs.ws:JsonBodyReadables:public,abstract,interface:::JsonBodyReadables$_setter_$readableAsJson_$eq:public,abstract:1:play.api.libs.ws.BodyReadable:void::3PP
play.api.libs.ws:JsonBodyReadables:public,abstract,interface:::readableAsJson:public,abstract:0::play.api.libs.ws.BodyReadable::3PP
play.api.libs.ws:JsonBodyReadables:public,abstract,interface:::$anonfun$readableAsJson$1:public,static:1:play.api.libs.ws.StandaloneWSResponse:play.api.libs.json.JsValue::3PP
play.api.libs.ws:JsonBodyReadables:public,abstract,interface:::$init$:public,static:1:play.api.libs.ws.JsonBodyReadables:void::3PP
play.api.libs.ws:JsonBodyReadables:public,abstract,interface:::$deserializeLambda$:private,static:1:java.lang.invoke.SerializedLambda:java.lang.Object::3PP
play.libs.ws:JsonBodyReadables$1:final:java.lang.Object:play.libs.ws.JsonBodyReadables:<init>::0::void::3PP
