javax.transaction:HeuristicCommitException:public:java.lang.Exception::<init>:public:0::void::3PP
javax.transaction:HeuristicCommitException:public:java.lang.Exception::<init>:public:1:java.lang.String:void::3PP
javax.transaction:SystemException:public:java.lang.Exception::<init>:public:0::void::3PP
javax.transaction:SystemException:public:java.lang.Exception::<init>:public:1:java.lang.String:void::3PP
javax.transaction:SystemException:public:java.lang.Exception::<init>:public:1:int:void::3PP
javax.transaction:TransactionSynchronizationRegistry:public,abstract,interface:::getTransactionKey:public,abstract:0::java.lang.Object::3PP
javax.transaction:TransactionSynchronizationRegistry:public,abstract,interface:::putResource:public,abstract:2:java.lang.Object,java.lang.Object:void::3PP
javax.transaction:TransactionSynchronizationRegistry:public,abstract,interface:::getResource:public,abstract:1:java.lang.Object:java.lang.Object::3PP
javax.transaction:TransactionSynchronizationRegistry:public,abstract,interface:::registerInterposedSynchronization:public,abstract:1:javax.transaction.Synchronization:void::3PP
javax.transaction:TransactionSynchronizationRegistry:public,abstract,interface:::getTransactionStatus:public,abstract:0::int::3PP
javax.transaction:TransactionSynchronizationRegistry:public,abstract,interface:::setRollbackOnly:public,abstract:0::void::3PP
javax.transaction:TransactionSynchronizationRegistry:public,abstract,interface:::getRollbackOnly:public,abstract:0::boolean::3PP
javax.transaction:HeuristicMixedException:public:java.lang.Exception::<init>:public:0::void::3PP
javax.transaction:HeuristicMixedException:public:java.lang.Exception::<init>:public:1:java.lang.String:void::3PP
javax.transaction:Transaction:public,abstract,interface:::commit:public,abstract:0::void::3PP
javax.transaction:Transaction:public,abstract,interface:::delistResource:public,abstract:2:javax.transaction.xa.XAResource,int:boolean::3PP
javax.transaction:Transaction:public,abstract,interface:::enlistResource:public,abstract:1:javax.transaction.xa.XAResource:boolean::3PP
javax.transaction:Transaction:public,abstract,interface:::getStatus:public,abstract:0::int::3PP
javax.transaction:Transaction:public,abstract,interface:::registerSynchronization:public,abstract:1:javax.transaction.Synchronization:void::3PP
javax.transaction:Transaction:public,abstract,interface:::rollback:public,abstract:0::void::3PP
