org.springframework.dao:InvalidDataAccessResourceUsageException:public:org.springframework.dao.NonTransientDataAccessException::<init>:public:1:java.lang.String:void::3PP
org.springframework.dao:InvalidDataAccessResourceUsageException:public:org.springframework.dao.NonTransientDataAccessException::<init>:public:2:java.lang.String,java.lang.Throwable:void::3PP
org.springframework.dao:ConcurrencyFailureException:public:org.springframework.dao.TransientDataAccessException::<init>:public:1:java.lang.String:void::3PP
org.springframework.dao:ConcurrencyFailureException:public:org.springframework.dao.TransientDataAccessException::<init>:public:2:java.lang.String,java.lang.Throwable:void::3PP
org.springframework.dao:IncorrectUpdateSemanticsDataAccessException:public:org.springframework.dao.InvalidDataAccessResourceUsageException::<init>:public:1:java.lang.String:void::3PP
org.springframework.dao:IncorrectUpdateSemanticsDataAccessException:public:org.springframework.dao.InvalidDataAccessResourceUsageException::<init>:public:2:java.lang.String,java.lang.Throwable:void::3PP
org.springframework.dao:IncorrectUpdateSemanticsDataAccessException:public:org.springframework.dao.InvalidDataAccessResourceUsageException::wasDataUpdated:public:0::boolean::3PP
org.springframework.dao:CannotSerializeTransactionException:public:org.springframework.dao.PessimisticLockingFailureException::<init>:public:1:java.lang.String:void::3PP
org.springframework.dao:CannotSerializeTransactionException:public:org.springframework.dao.PessimisticLockingFailureException::<init>:public:2:java.lang.String,java.lang.Throwable:void::3PP
org.springframework.dao:PermissionDeniedDataAccessException:public:org.springframework.dao.NonTransientDataAccessException::<init>:public:2:java.lang.String,java.lang.Throwable:void::3PP
org.springframework.dao:EmptyResultDataAccessException:public:org.springframework.dao.IncorrectResultSizeDataAccessException::<init>:public:1:int:void::3PP
org.springframework.dao:EmptyResultDataAccessException:public:org.springframework.dao.IncorrectResultSizeDataAccessException::<init>:public:2:java.lang.String,int:void::3PP
org.springframework.dao:EmptyResultDataAccessException:public:org.springframework.dao.IncorrectResultSizeDataAccessException::<init>:public:3:java.lang.String,int,java.lang.Throwable:void::3PP
org.springframework.dao:DataRetrievalFailureException:public:org.springframework.dao.NonTransientDataAccessException::<init>:public:1:java.lang.String:void::3PP
org.springframework.dao:DataRetrievalFailureException:public:org.springframework.dao.NonTransientDataAccessException::<init>:public:2:java.lang.String,java.lang.Throwable:void::3PP
org.springframework.dao.support:DaoSupport:public,abstract:java.lang.Object:org.springframework.beans.factory.InitializingBean:<init>:public:0::void::3PP
org.springframework.dao.support:DaoSupport:public,abstract:java.lang.Object:org.springframework.beans.factory.InitializingBean:afterPropertiesSet:public,final:0::void::3PP
org.springframework.dao.support:DaoSupport:public,abstract:java.lang.Object:org.springframework.beans.factory.InitializingBean:checkDaoConfig:protected,abstract:0::void::3PP
org.springframework.dao.support:DaoSupport:public,abstract:java.lang.Object:org.springframework.beans.factory.InitializingBean:initDao:protected:0::void::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::<init>:public:0::void::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::singleResult:public,static:1:java.util.Collection:java.lang.Object::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::requiredSingleResult:public,static:1:java.util.Collection:java.lang.Object::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::nullableSingleResult:public,static:1:java.util.Collection:java.lang.Object::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::uniqueResult:public,static:1:java.util.Collection:java.lang.Object::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::requiredUniqueResult:public,static:1:java.util.Collection:java.lang.Object::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::objectResult:public,static:2:java.util.Collection,java.lang.Class:java.lang.Object::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::intResult:public,static:1:java.util.Collection:int::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::longResult:public,static:1:java.util.Collection:long::3PP
org.springframework.dao.support:DataAccessUtils:public,abstract:java.lang.Object::translateIfNecessary:public,static:2:java.lang.RuntimeException,org.springframework.dao.support.PersistenceExceptionTranslator:java.lang.RuntimeException::3PP
