com.fasterxml.classmate:AnnotationConfiguration$StdConfiguration:public:com.fasterxml.classmate.AnnotationConfiguration:java.io.Serializable:<init>:public:1:com.fasterxml.classmate.AnnotationInclusion:void::3PP
com.fasterxml.classmate:AnnotationConfiguration$StdConfiguration:public:com.fasterxml.classmate.AnnotationConfiguration:java.io.Serializable:getInclusionForClass:public:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration$StdConfiguration:public:com.fasterxml.classmate.AnnotationConfiguration:java.io.Serializable:getInclusionForConstructor:public:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration$StdConfiguration:public:com.fasterxml.classmate.AnnotationConfiguration:java.io.Serializable:getInclusionForField:public:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration$StdConfiguration:public:com.fasterxml.classmate.AnnotationConfiguration:java.io.Serializable:getInclusionForMethod:public:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration$StdConfiguration:public:com.fasterxml.classmate.AnnotationConfiguration:java.io.Serializable:getInclusionForParameter:public:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration$StdConfiguration:public:com.fasterxml.classmate.AnnotationConfiguration:java.io.Serializable:setInclusion:public:2:java.lang.Class,com.fasterxml.classmate.AnnotationInclusion:void::3PP
com.fasterxml.classmate:AnnotationConfiguration$StdConfiguration:public:com.fasterxml.classmate.AnnotationConfiguration:java.io.Serializable:_inclusionFor:protected:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration:public,abstract:java.lang.Object:java.io.Serializable:<init>:public:0::void::3PP
com.fasterxml.classmate:AnnotationConfiguration:public,abstract:java.lang.Object:java.io.Serializable:getInclusionForClass:public,abstract:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration:public,abstract:java.lang.Object:java.io.Serializable:getInclusionForConstructor:public,abstract:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration:public,abstract:java.lang.Object:java.io.Serializable:getInclusionForField:public,abstract:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration:public,abstract:java.lang.Object:java.io.Serializable:getInclusionForMethod:public,abstract:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationConfiguration:public,abstract:java.lang.Object:java.io.Serializable:getInclusionForParameter:public,abstract:1:java.lang.Class:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationInclusion:public,final:java.lang.Enum::values:public,static:0::com.fasterxml.classmate.AnnotationInclusion[]::3PP
com.fasterxml.classmate:AnnotationInclusion:public,final:java.lang.Enum::valueOf:public,static:1:java.lang.String:com.fasterxml.classmate.AnnotationInclusion::3PP
com.fasterxml.classmate:AnnotationInclusion:public,final:java.lang.Enum::<init>:private:2:java.lang.String,int:void::3PP
com.fasterxml.classmate:AnnotationInclusion:public,final:java.lang.Enum::<clinit>:static:0::void::3PP
com.fasterxml.classmate:AnnotationOverrides$StdBuilder:public:java.lang.Object::<init>:public:0::void::3PP
com.fasterxml.classmate:AnnotationOverrides$StdBuilder:public:java.lang.Object::add:public:2:java.lang.Class,java.lang.Class:com.fasterxml.classmate.AnnotationOverrides$StdBuilder::3PP
com.fasterxml.classmate:AnnotationOverrides$StdBuilder:public:java.lang.Object::add:public:2:com.fasterxml.classmate.util.ClassKey,java.lang.Class:com.fasterxml.classmate.AnnotationOverrides$StdBuilder::3PP
com.fasterxml.classmate:AnnotationOverrides$StdBuilder:public:java.lang.Object::build:public:0::com.fasterxml.classmate.AnnotationOverrides::3PP
