com.googlecode.ipv6:BitSetHelpers::java.lang.Object::<init>::0::void::3PP
com.googlecode.ipv6:BitSetHelpers::java.lang.Object::bitSetOf:static:2:long,long:java.util.BitSet::3PP
com.googlecode.ipv6:BitSetHelpers::java.lang.Object::convert:static:3:long,int,java.util.BitSet:void::3PP
com.googlecode.ipv6:IPv6AddressRange$IPv6AddressRangeAsSubnetsIterator::java.lang.Object:java.util.Iterator:<init>:private:1:com.googlecode.ipv6.IPv6AddressRange:void::3PP
com.googlecode.ipv6:IPv6AddressRange$IPv6AddressRangeAsSubnetsIterator::java.lang.Object:java.util.Iterator:next:public:0::com.googlecode.ipv6.IPv6Network::3PP
com.googlecode.ipv6:IPv6AddressRange$IPv6AddressRangeAsSubnetsIterator::java.lang.Object:java.util.Iterator:hasNext:public:0::boolean::3PP
com.googlecode.ipv6:IPv6AddressRange$IPv6AddressRangeAsSubnetsIterator::java.lang.Object:java.util.Iterator:remove:public:0::void::3PP
com.googlecode.ipv6:IPv6AddressRange$IPv6AddressRangeAsSubnetsIterator::java.lang.Object:java.util.Iterator:next:public,volatile:0::java.lang.Object::3PP
com.googlecode.ipv6:IPv6AddressRange$IPv6AddressRangeAsSubnetsIterator::java.lang.Object:java.util.Iterator:<init>::2:com.googlecode.ipv6.IPv6AddressRange,com.googlecode.ipv6.IPv6AddressRange$1:void::3PP
com.googlecode.ipv6:IPv6NetworkMask:public,final:java.lang.Object:java.io.Serializable:<init>::1:int:void::3PP
com.googlecode.ipv6:IPv6NetworkMask:public,final:java.lang.Object:java.io.Serializable:fromAddress:public,static:1:com.googlecode.ipv6.IPv6Address:com.googlecode.ipv6.IPv6NetworkMask::3PP
com.googlecode.ipv6:IPv6NetworkMask:public,final:java.lang.Object:java.io.Serializable:fromPrefixLength:public,static:1:int:com.googlecode.ipv6.IPv6NetworkMask::3PP
com.googlecode.ipv6:IPv6NetworkMask:public,final:java.lang.Object:java.io.Serializable:validateNetworkMask:private,static:1:com.googlecode.ipv6.IPv6Address:void::3PP
com.googlecode.ipv6:IPv6NetworkMask:public,final:java.lang.Object:java.io.Serializable:asPrefixLength:public:0::int::3PP
com.googlecode.ipv6:IPv6NetworkMask:public,final:java.lang.Object:java.io.Serializable:asAddress:public:0::com.googlecode.ipv6.IPv6Address::3PP
com.googlecode.ipv6:IPv6NetworkMask:public,final:java.lang.Object:java.io.Serializable:equals:public:1:java.lang.Object:boolean::3PP
com.googlecode.ipv6:IPv6NetworkMask:public,final:java.lang.Object:java.io.Serializable:hashCode:public:0::int::3PP
com.googlecode.ipv6:IPv6NetworkMask:public,final:java.lang.Object:java.io.Serializable:toString:public:0::java.lang.String::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::<init>:public:0::void::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::parseStringArrayIntoLongArray:static:1:java.lang.String[]:long[]::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::validateLongs:static:1:long[]:void::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::mergeLongArrayIntoIPv6Address:static:1:long[]:com.googlecode.ipv6.IPv6Address::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::inHighRange:static:1:int:boolean::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::expandShortNotation:static:1:java.lang.String:java.lang.String::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::rewriteIPv4MappedNotation:static:1:java.lang.String:java.lang.String::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::countOccurrences:public,static:2:java.lang.String,char:int::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::generateZeroes:public,static:1:int:java.lang.String::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::isLessThanUnsigned:static:2:long,long:boolean::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::prefixWithZeroBytes:static:2:byte[],int:byte[]::3PP
com.googlecode.ipv6:IPv6AddressHelpers:public,final:java.lang.Object::<clinit>:static:0::void::3PP
com.googlecode.ipv6:IPv6Address:public,final:java.lang.Object:java.lang.Comparable,java.io.Serializable:<init>::2:long,long:void::3PP
com.googlecode.ipv6:IPv6Address:public,final:java.lang.Object:java.lang.Comparable,java.io.Serializable:fromLongs:public,static:2:long,long:com.googlecode.ipv6.IPv6Address::3PP
com.googlecode.ipv6:IPv6Address:public,final:java.lang.Object:java.lang.Comparable,java.io.Serializable:fromString:public,static:1:java.lang.String:com.googlecode.ipv6.IPv6Address::3PP
com.googlecode.ipv6:IPv6Address:public,final:java.lang.Object:java.lang.Comparable,java.io.Serializable:tryParseStringArrayIntoLongArray:private,static:2:java.lang.String,java.lang.String:long[]::3PP
com.googlecode.ipv6:IPv6Address:public,final:java.lang.Object:java.lang.Comparable,java.io.Serializable:fromInetAddress:public,static:1:java.net.InetAddress:com.googlecode.ipv6.IPv6Address::3PP
