com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyIgnoralByName:public:2:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyInclusionByName:public:2:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.annotation.JsonIncludeProperties$Value::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findFilterId:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findNamingStrategy:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedClass:java.lang.Object::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findClassDescription:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedClass:java.lang.String::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertiesToIgnore:public:2:com.fasterxml.jackson.databind.introspect.Annotated,boolean:java.lang.String[]::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findIgnoreUnknownProperties:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedClass:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyIgnorals:public:1:com.fasterxml.jackson.databind.introspect.Annotated:com.fasterxml.jackson.annotation.JsonIgnoreProperties$Value::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findAutoDetectVisibility:public:2:com.fasterxml.jackson.databind.introspect.AnnotatedClass,com.fasterxml.jackson.databind.introspect.VisibilityChecker:com.fasterxml.jackson.databind.introspect.VisibilityChecker::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findTypeResolver:public:3:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.AnnotatedClass,com.fasterxml.jackson.databind.JavaType:com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyTypeResolver:public:3:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.AnnotatedMember,com.fasterxml.jackson.databind.JavaType:com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findPropertyContentTypeResolver:public:3:com.fasterxml.jackson.databind.cfg.MapperConfig,com.fasterxml.jackson.databind.introspect.AnnotatedMember,com.fasterxml.jackson.databind.JavaType:com.fasterxml.jackson.databind.jsontype.TypeResolverBuilder::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findSubtypes:public:1:com.fasterxml.jackson.databind.introspect.Annotated:java.util.List::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findTypeName:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedClass:java.lang.String::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:isTypeId:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedMember:java.lang.Boolean::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findReferenceType:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedMember:com.fasterxml.jackson.databind.AnnotationIntrospector$ReferenceProperty::3PP
com.fasterxml.jackson.databind:AnnotationIntrospector:public,abstract:java.lang.Object:com.fasterxml.jackson.core.Versioned,java.io.Serializable:findUnwrappingNameTransformer:public:1:com.fasterxml.jackson.databind.introspect.AnnotatedMember:com.fasterxml.jackson.databind.util.NameTransformer::3PP
